code;n_brut_5_10_SW;n_5_10_SW;n_brut_5_10_SW_cont;n_5_10_SW_cont;coef_5_10_SW;StdErr;OddsRatioEst;UpperCL;LowerCL;oddratio_ci;oddratio_ci
A01;1845;6.939742722;17770;6.683969006;0.021519577;0.013107158;1.043978769;0.956959897;1.138910496;;1.04 (0.96-1.14)
A02;3471;13.05574362;34224;12.87294065;0.009107243;0.010131169;1.018381381;0.952126313;1.089246904;;1.02 (0.95-1.09)
A03;950;3.573309261;7641;2.874069059;0.11595939;0.017803041;1.261017304;1.120421175;1.419256149;;1.26 (1.12-1.42)
A04;71;0.26705785;631;0.237342962;0.05926991;0.062745907;1.125851704;0.742227267;1.707754641;;1.13 (0.74-1.71)
A05;17;0.063943429;155;0.058301362;0.046189194;0.127744742;1.096779752;0.469606331;2.561562193;;1.10 (0.47-2.56)
A06;3239;12.18310389;25959;9.764161589;0.139447667;0.010579561;1.321669002;1.232008674;1.417854426;;1.32 (1.23-1.42)
A07;760;2.858647408;6904;2.596855488;0.050682044;0.019651872;1.106679497;0.971293621;1.260936429;;1.11 (0.97-1.26)
A08;106;0.398706086;1343;0.505153088;-0.119942624;0.050756188;0.786718134;0.561630101;1.102016116;;0.79 (0.56-1.10)
A09;82;0.30843301;591;0.22229745;0.164472181;0.059070664;1.389500545;0.938670052;2.056858807;;1.39 (0.94-2.06)
A10;1178;4.430903483;10944;4.116452268;0.039611785;0.015923874;1.082446297;0.973835699;1.20317009;;1.08 (0.97-1.20)
B01;5092;19.15293764;46869;17.62920334;0.061311173;0.009041078;1.130457419;1.064588791;1.200401496;;1.13 (1.06-1.20)
C01;2135;8.030542391;19359;7.281651997;0.057177747;0.012363246;1.121150615;1.032788272;1.217072983;;1.12 (1.03-1.22)
C02;42;0.157977883;650;0.244489581;-0.219046782;0.079708635;0.645265406;0.380082279;1.095466606;;0.65 (0.38-1.10)
C03;4454;16.75317836;47442;17.84473031;-0.045654913;0.009375566;0.912734878;0.857645356;0.971362989;;0.91 (0.86-0.97)
C04;8;0.030091025;90;0.033852404;-0.058999889;0.184636188;0.88869625;0.260799321;3.028309362;;0.89 (0.26-3.03)
C05;868;3.264876251;7662;2.881967953;0.066371585;0.018501507;1.141956672;1.009940242;1.291229903;;1.14 (1.01-1.29)
C07;4745;17.84773941;47552;17.88610547;-0.001532233;0.009091957;0.996940225;0.938534141;1.058980988;;1.00 (0.94-1.06)
C08;2757;10.37011961;27865;10.48108027;-0.006543639;0.011064242;0.986997987;0.91708507;1.062240635;;0.99 (0.92-1.06)
C09;3901;14.67313624;39264;14.76867524;-0.004381215;0.009748738;0.991275849;0.929140691;1.05756622;;0.99 (0.93-1.06)
C10;4104;15.43669601;34853;13.10953133;0.109162924;0.009641793;1.243992355;1.166844737;1.326240698;;1.24 (1.17-1.33)
D06;533;2.004814564;4391;1.651621154;0.100654654;0.023410735;1.223002999;1.0469273;1.428691692;;1.22 (1.05-1.43)
D07;3071;11.55119236;26674;10.03310013;0.088617548;0.010763381;1.193911743;1.111560721;1.282363819;;1.19 (1.11-1.28)
G01;276;1.038140375;2474;0.930564959;0.055957244;0.032110947;1.11841722;0.903656769;1.384217017;;1.12 (0.90-1.38)
G03;4586;17.24968028;37933;14.26803581;0.130866264;0.009309776;1.299179001;1.221298462;1.382025877;;1.30 (1.22-1.38)
G04;960;3.610923042;6884;2.589332732;0.176179326;0.017802892;1.422418586;1.263828396;1.600909302;;1.42 (1.26-1.60)
H01;83;0.312194388;516;0.194087114;0.239205914;0.059359917;1.613509837;1.087906877;2.393048567;;1.61 (1.09-2.39)
H02;1806;6.793048973;16967;6.381930339;0.035686549;0.013256185;1.073981852;0.983488433;1.172801815;;1.07 (0.98-1.17)
H03;2167;8.150906492;18923;7.117655909;0.077258619;0.012153634;1.167094397;1.076608468;1.265185416;;1.17 (1.08-1.27)
J01;7362;27.69126608;67938;25.554051;0.081879704;0.008892386;1.17793088;1.110391888;1.249577896;;1.18 (1.11-1.25)
J02;433;1.628676747;3630;1.365380275;0.09126539;0.025896555;1.200251094;1.010630965;1.425448792;;1.20 (1.01-1.43)
J05;514;1.933348379;4524;1.701647484;0.066407867;0.023763807;1.14203954;0.975330864;1.337242937;;1.14 (0.98-1.34)
J06;23;0.086511698;155;0.058301362;0.197588928;0.111811001;1.48464822;0.706622084;3.11931991;;1.48 (0.71-3.12)
J07;221;0.831264575;2207;0.830136162;0.000699746;0.035797793;1.001400471;0.789542413;1.27010644;;1.00 (0.79-1.27)
L01;695;2.614157827;7104;2.672083051;-0.011516294;0.020367289;0.977230637;0.853616209;1.118745998;;0.98 (0.85-1.12)
L02;290;1.090799669;2291;0.861731739;0.119957024;0.031466512;1.271139889;1.031457654;1.566517646;;1.27 (1.03-1.57)
L03;21;0.078988942;178;0.066952531;0.082777178;0.115429712;1.180047104;0.548311662;2.539634415;;1.18 (0.55-2.54)
L04;278;1.045663131;2372;0.892198902;0.080836185;0.032009659;1.175475057;0.950397245;1.453856918;;1.18 (0.95-1.45)
M01;5448;20.49198826;49852;18.75122245;0.069638885;0.009022161;1.149443337;1.082604424;1.220408817;;1.15 (1.08-1.22)
M03;403;1.515835402;3592;1.351087038;0.05921329;0.026667201;1.125724221;0.943040055;1.343797663;;1.13 (0.94-1.34)
M05;1509;5.675919657;11469;4.313924622;0.15100481;0.014446022;1.352574239;1.228859463;1.488743935;;1.35 (1.23-1.49)
N02;5849;22.00030091;54487;20.49462123;0.0571371;0.008805881;1.121059478;1.05738851;1.188564412;;1.12 (1.06-1.19)
N03;440;1.655006394;4238;1.594072068;0.019319432;0.02542224;1.039395053;0.877948308;1.230530394;;1.04 (0.88-1.23)
N04;286;1.075754156;2737;1.029489205;0.022426837;0.031392123;1.045874811;0.849087176;1.288270686;;1.05 (0.85-1.29)
N05;5560;20.91326262;48834;18.36831415;0.097868854;0.008805199;1.216207862;1.147138102;1.289436348;;1.22 (1.15-1.29)
N06;3379;12.70969683;23001;8.651545926;0.234519082;0.010350429;1.598456001;1.492287524;1.712177812;;1.60 (1.49-1.71)
N07;163;0.613104642;1350;0.507786053;0.096408034;0.041970943;1.212659727;0.917708444;1.602408286;;1.21 (0.92-1.60)
P02;11;0.04137516;143;0.053787708;-0.131488936;0.15660992;0.768758909;0.271746756;2.174783126;;0.77 (0.27-2.17)
P03;13;0.048897916;108;0.040622884;0.093074895;0.147062323;1.204602685;0.453681464;3.198428293;;1.20 (0.45-3.20)
R01;2148;8.079440307;18158;6.829910479;0.099865814;0.012516068;1.221075013;1.123696371;1.326892411;;1.22 (1.12-1.33)
R03;1913;7.195516437;18590;6.992402016;0.016331131;0.012832658;1.033201529;0.948808798;1.125100653;;1.03 (0.95-1.13)
R05;4058;15.26367261;36908;13.88249455;0.066221934;0.009842363;1.141614933;1.069391201;1.218716457;;1.14 (1.07-1.22)
R06;1716;6.454524938;14600;5.491612127;0.09167166;0.013651945;1.201226743;1.097124791;1.315206529;;1.20 (1.10-1.32)
S01;4351;16.36575641;38660;14.541488;0.082291159;0.009519077;1.17890061;1.106691148;1.2558216;;1.18 (1.11-1.26)