code;coef_2_5;std_2_5;odd_ratio_1;corr_or_ci_inf_1;corr_or_ci_sup_1;n_brut_2_5_FR;n_2_5_FR;n_brut_2_5_FR_cont;n_2_5_FR_cont
N02;0.315254680120833;0.0088741506781835;1.37;1.33;1.41;168886;86.37;159196;81.41
J01;0.126390801768791;0.00702285092754059;1.13;1.11;1.16;140096;71.64;133625;68.34
A02;0.195366232851196;0.00651383761800535;1.22;1.19;1.24;118942;60.83;108603;55.54
M01;0.134916724227464;0.00649547188020267;1.14;1.12;1.17;116263;59.46;108760;55.62
J07;0.16743708155292;0.00641931763410871;1.18;1.16;1.21;104153;53.26;95041;48.6
N05;0.438663238071091;0.00650936252476501;1.55;1.52;1.58;95424;48.8;73712;37.7
S01;0.178001488026642;0.00644569117787578;1.19;1.17;1.22;93127;47.62;83680;42.79
D08;0.173285897696369;0.00645322304288543;1.19;1.16;1.22;91802;46.95;82614;42.25
M02;0.113901246412915;0.00648494423764733;1.12;1.1;1.15;86159;44.06;79925;40.87
C09;0.049293185739415;0.00649217476557585;1.05;1.03;1.07;83680;42.79;80536;41.19
R01;0.0759752212991991;0.00652552003027799;1.08;1.06;1.1;81514;41.69;77167;39.46
B01;0.117682602655089;0.00654794769397789;1.12;1.1;1.15;80948;41.4;74692;38.2
C10;0.0776787880709505;0.00653363700676848;1.08;1.06;1.1;80931;41.39;76519;39.13
H02;0.0435743004745858;0.00654143142652974;1.04;1.02;1.07;79475;40.64;76673;39.21
A06;0.437437782727162;0.00675114796547204;1.55;1.51;1.58;79165;40.48;59094;30.22
A11;0.216009129613559;0.00663940889923424;1.24;1.21;1.27;77979;39.88;67442;34.49
A03;0.160674172058462;0.00670282741486809;1.17;1.15;1.2;73210;37.44;65368;33.43
R06;0.116713961054264;0.00671048414477654;1.12;1.1;1.15;71716;36.68;65854;33.68
R05;0.0631908124751664;0.00670124731944757;1.07;1.04;1.09;70824;36.22;67332;34.43
N06;0.619018962546468;0.00747861421911891;1.86;1.81;1.9;61947;31.68;38688;19.78
D07;0.0882479929813618;0.00696524481139927;1.09;1.07;1.12;61496;31.45;57274;29.29
D01;0.222718578318658;0.00711439689545573;1.25;1.22;1.28;60313;30.84;50937;26.05
A01;0.106570327890909;0.0071942283458918;1.11;1.09;1.14;55613;28.44;50969;26.07
C07;0.118416093354394;0.00722725961186353;1.13;1.1;1.15;55071;28.16;50017;25.58
V08;0.248539579795258;0.00749548301697802;1.28;1.25;1.31;52106;26.65;42750;21.86
R03;0.00570534472646308;0.00756013050064557;1.01;0.98;1.03;46074;23.56;45426;23.23
A07;0.0878256628117731;0.00765291745214783;1.09;1.06;1.12;45970;23.51;42535;21.75
G04;0.372571945133341;0.00811692884243313;1.45;1.41;1.49;44521;22.77;32689;16.72
D06;0.12593777585739;0.00792753495590445;1.13;1.1;1.16;42413;21.69;38005;19.44
C08;0.0802401917720985;0.00799344850844069;1.08;1.05;1.11;40703;20.82;37805;19.33
C03;0.0688542567802933;0.00828390969802467;1.07;1.04;1.1;36911;18.88;34553;17.67
A12;0.140512296820345;0.00840470222676054;1.15;1.12;1.18;36696;18.77;32371;16.55
C01;0.114303270847735;0.00878915022836836;1.12;1.09;1.15;32472;16.61;29206;14.94
D02;0.124334115012272;0.00889895634184693;1.13;1.1;1.17;31649;16.19;28210;14.43
A10;0.07649790882659;0.00893633042074199;1.08;1.05;1.11;30670;15.68;28463;14.56
N07;0.342725662890337;0.00951917219707305;1.41;1.36;1.45;29960;15.32;22039;11.27
M03;0.132771444955316;0.00943564111537265;1.14;1.11;1.18;27641;14.14;24397;12.48
N01;0.10250537309916;0.0100137921681251;1.11;1.07;1.15;23753;12.15;21484;10.99
B03;0.154413369650938;0.0102828481983365;1.17;1.13;1.21;22918;11.72;19779;10.11
S02;0.0449997030964449;0.0105824084811465;1.05;1.01;1.08;20405;10.44;19406;9.92
H03;0.0931795237447037;0.010724261604178;1.1;1.06;1.14;20254;10.36;18442;9.43
G03;0.0994396163449414;0.0108372935668683;1.1;1.07;1.15;19844;10.15;17963;9.19
M04;-0.0278475501170442;0.0105707749336812;0.97;0.94;1.01;19792;10.12;20095;10.28
B05;0.0767239380886245;0.0112613008537407;1.08;1.04;1.12;18029;9.22;16648;8.51
A04;0.128599399803684;0.0121014960474623;1.14;1.09;1.18;15794;8.08;13888;7.1
N03;0.69658568583009;0.0141693299502004;2.01;1.91;2.1;15519;7.94;7975;4.08
V03;0.123801456294197;0.0126874308945154;1.13;1.08;1.18;14228;7.28;12555;6.42
M05;0.165886306539523;0.0136414228407068;1.18;1.13;1.24;12448;6.37;10545;5.39
C02;0.0545920098336407;0.0141523364335528;1.06;1.01;1.11;10893;5.57;10244;5.24
J05;0.00643470489678211;0.0141012683110283;1.01;0.96;1.06;10725;5.48;10556;5.4
J02;0.133527057392991;0.0146796926957389;1.14;1.09;1.2;10487;5.36;9148;4.68
P01;0.0382857003397533;0.0153369019886477;1.04;0.99;1.09;9122;4.66;8709;4.45
G01;0.0863547639263907;0.016276832135343;1.09;1.03;1.15;8249;4.22;7519;3.85
C04;0.138153220828383;0.0198487677735762;1.15;1.07;1.23;5621;2.87;4866;2.49
D10;0.209891159315212;0.0202572835337738;1.23;1.15;1.32;5600;2.86;4520;2.31
C05;0.113509156580656;0.0207912401315561;1.12;1.04;1.2;5046;2.58;4473;2.29
M09;0.082321077145395;0.0208134361198678;1.09;1.01;1.16;4955;2.53;4528;2.32
D05;0.0539180009289033;0.0215719836431435;1.06;0.98;1.13;4539;2.32;4264;2.18
P02;0.0631845769955493;0.0217767933856474;1.07;0.99;1.15;4473;2.29;4164;2.13
L02;-0.0107381367656162;0.0218773652636656;0.99;0.92;1.06;4271;2.18;4274;2.19
A05;0.293561422366781;0.0244182052698292;1.34;1.24;1.46;4007;2.05;2974;1.52
L01;0.0734333239135865;0.0239981063537308;1.08;0.99;1.17;3688;1.89;3398;1.74
B02;0.107978247343969;0.0266027533376221;1.11;1.02;1.22;3045;1.56;2711;1.39
V04;0.133545779724936;0.027205640672846;1.14;1.04;1.25;2949;1.51;2560;1.31