code;n_brut_5_10_SW;n_5_10_SW;n_brut_5_10_SW_cont;n_5_10_SW_cont;oddratio_ci;oddratio_ci;n_brut_2_5_SW;n_2_5_SW;n_brut_2_5_SW_cont;n_2_5_SW_cont
A01;1228;11.46377894;10034;9.367064974;1.40 (1.29-1.53);1.23 (1.10-1.37);1920;10.5442363666319;13937;7.65390740842441
A02;2325;21.70463032;20760;19.38013443;1.18 (1.11-1.26);1.13 (1.04-1.23);3943;21.6541270800154;34071;18.7110769399747
A03;459;4.284914115;3597;3.357916355;1.32 (1.15-1.51);1.27 (1.07-1.51);758;4.16277664890988;5737;3.1506397935087
A04;57;0.532113518;416;0.388349515;1.23 (0.82-1.85);1.33 (0.83-2.14);78;0.42835960239442;626;0.343786039870394
A05;8;0.074682599;57;0.053211352;0.80 (0.28-2.29);1.37 (0.39-4.87);11;0.0604096875171618;133;0.073040803998023
A06;1795;16.75690814;13803;12.88554892;1.62 (1.51-1.73);1.34 (1.22-1.47);3719;20.423966170575;24918;13.6844417595694
A07;466;4.350261389;4067;3.796676624;1.07 (0.94-1.23);1.13 (0.95-1.34);712;3.91015431929266;6526;3.58394200669998
A08;112;1.045556385;1096;1.023151606;0.88 (0.60-1.30);1.01 (0.72-1.41);81;0.444834971717283;903;0.495908616618156
A09;49;0.457430919;330;0.308065721;1.29 (0.86-1.94);1.47 (0.88-2.47);77;0.422867812620133;591;0.324564775660388
A10;866;8.084391337;8337;7.782860344;1.00 (0.91-1.10);1.03 (0.91-1.17);1661;9.12186281509144;16448;9.03289582074798
B01;3312;30.91859597;30145;28.14133682;1.14 (1.08-1.21);1.14 (1.05-1.23);6384;35.059585919051;58113;31.9144379153166
C01;1460;13.62957431;12027;11.22759522;1.17 (1.08-1.26);1.24 (1.12-1.38);2602;14.2896369926959;22578;12.3993629523862
C02;103;0.961538462;958;0.894324122;0.89 (0.67-1.19);1.05 (0.74-1.50);147;0.807293096820254;1630;0.895161733208853
C03;2263;21.12584018;21830;20.37901419;1.05 (0.98-1.12);1.03 (0.95-1.13);4306;23.6476467680817;41287;22.6739524411006
C04;3;0.028005975;38;0.035474235;1.47 (0.41-5.25);0.75 (0.10-5.64);9;0.049426107968587;54;0.0296556647811522
C05;478;4.462285288;4498;4.199029126;1.09 (0.95-1.26);1.04 (0.88-1.23);672;3.69048272832116;6057;3.3263770662859
C07;3015;28.14600448;29001;27.07337565;1.12 (1.05-1.18);1.04 (0.96-1.13);5647;31.0121368554012;51915;28.5106266132132
C08;1731;16.15944735;17026;15.89432412;0.96 (0.90-1.03);1.01 (0.92-1.11);3172;17.4199571640398;32256;17.7143170959416
C09;2696;25.16803585;27812;25.96340553;0.95 (0.89-1.01);0.94 (0.87-1.02);5123;28.1344390136746;52331;28.7390850678236
C10;2602;24.29051531;25727;24.01699029;0.97 (0.91-1.04);1.00 (0.92-1.08);4506;24.7460047229392;45346;24.9030699104838
D06;402;3.752800597;3078;2.873412995;1.23 (1.05-1.44);1.27 (1.06-1.53);535;2.93810752924378;4245;2.33126475918502
D07;1872;17.47572816;17754;16.57393577;1.04 (0.96-1.12);1.04 (0.95-1.14);2796;15.3550442089077;26549;14.5801526717557
G01;108;1.008215086;914;0.853248693;1.17 (0.85-1.61);1.15 (0.82-1.63);125;0.68647372178593;1038;0.570047778571036
G03;1494;13.94697535;12893;12.03603435;1.15 (1.05-1.26);1.19 (1.07-1.34);2059;11.3075951452578;18045;9.90993464770169
G04;1779;16.60754294;13390;12.5;1.50 (1.39-1.61);1.39 (1.26-1.54);3117;17.117908726454;22231;12.2087978472184
H01;47;0.438760269;332;0.309932786;1.36 (0.90-2.05);1.36 (0.80-2.30);77;0.422867812620133;550;0.302048437585809
H02;1092;10.19417476;10532;9.831964152;0.95 (0.86-1.04);1.02 (0.91-1.14);1664;9.1383381844143;17198;9.44478005381954
H03;719;6.712098581;6702;6.256534727;1.11 (1.00-1.23);1.06 (0.92-1.22);1364;7.49080125212807;12199;6.69943434565325
J01;5174;48.30097087;49411;46.12677371;1.02 (0.96-1.08);1.05 (0.98-1.13);7234;39.7276072271953;70203;38.5540117524301
J02;201;1.876400299;1785;1.666355489;0.96 (0.77-1.21);1.10 (0.85-1.42);245;1.34548849470042;2495;1.37020154868472
J05;309;2.884615385;2923;2.728715459;1.01 (0.84-1.21);1.03 (0.84-1.26);402;2.20769948926355;3870;2.12532264264924
J06;6;0.056011949;88;0.082150859;0.62 (0.17-2.30);0.63 (0.15-2.59);7;0.0384425284200121;107;0.0587621505848756
J07;297;2.772591486;2591;2.418782674;0.88 (0.70-1.12);1.09 (0.88-1.35);225;1.23565269921467;2448;1.34439013674557
L01;487;4.546303211;4721;4.407206871;1.20 (1.04-1.40);1.02 (0.86-1.20);595;3.26761491570103;4941;2.71349332747542
L02;172;1.605675878;1623;1.515123226;1.10 (0.92-1.32);1.03 (0.78-1.36);400;2.19671590971498;3571;1.96111812839805
L03;26;0.242718447;212;0.197908887;1.60 (0.93-2.76);1.20 (0.60-2.41);44;0.241638750068647;272;0.149376681860618
L04;135;1.260268857;1550;1.446975355;0.78 (0.61-1.00);0.86 (0.64-1.17);208;1.14229227305179;2626;1.44214399472788
M01;3863;36.06235997;36625;34.19062733;1.14 (1.07-1.20);1.06 (0.98-1.14);5351;29.3865670822121;48108;26.419902246142
M03;268;2.501867065;2290;2.137789395;1.45 (1.22-1.72);1.16 (0.93-1.44);443;2.43286287000934;3061;1.68103684990939
M05;371;3.463405527;3151;2.941560866;1.33 (1.16-1.51);1.17 (0.96-1.42);818;4.49228403536713;6213;3.41204898676479
N02;3494;32.61762509;32154;30.01680358;1.26 (1.19-1.33);1.11 (1.03-1.20);6219;34.1534406062936;52984;29.0976989400846
N03;440;4.107542942;2864;2.673637043;1.74 (1.53-1.97);1.55 (1.30-1.85);878;4.82179142182437;5137;2.82113240705146
N04;825;7.701643017;1360;1.269604182;19.68 (17.76-21.80);6.54 (5.60-7.63);3488;19.1553627327146;2210;1.21368554011752
N05;2844;26.54966393;23910;22.32076176;1.35 (1.27-1.43);1.24 (1.14-1.34);5145;28.2552583887089;40975;22.5026086001428
N06;1698;15.85138163;12442;11.6150112;2.00 (1.87-2.14);1.42 (1.29-1.56);3687;20.2482288977978;20560;11.291119775935
N07;113;1.05489171;1634;1.525392084;0.78 (0.59-1.02);0.67 (0.48-0.93);168;0.92262068208029;2107;1.15712010544236
P02;12;0.112023898;127;0.118558626;1.57 (0.70-3.54);0.90 (0.33-2.48);20;0.109835795485749;121;0.066450656268878
P03;11;0.102688574;90;0.084017924;1.76 (0.76-4.07);1.22 (0.42-3.57);19;0.104344005711461;108;0.0593113295623044
R01;1571;14.66579537;14404;13.44660194;1.05 (0.96-1.14);1.07 (0.97-1.18);2018;11.0824317645121;18882;10.3695974518095
R03;1175;10.96900672;11744;10.96340553;0.90 (0.82-0.98);0.98 (0.88-1.09);1803;9.90169696304025;19541;10.7315063979351
R05;2695;25.15870052;25618;23.91523525;0.99 (0.93-1.06);1.04 (0.96-1.13);3735;20.5118348069636;36816;20.2185732330166
R06;1040;9.708737864;9629;8.988984317;1.07 (0.97-1.18);1.06 (0.94-1.19);1451;7.96858696249108;13278;7.29199846229886
S01;2241;20.92046303;20300;18.95070948;1.16 (1.09-1.24);1.11 (1.01-1.21);3793;20.8303586138723;33067;18.1597012466363
V01;2;0.01867065;33;0.030806572;0.29 (0.01-8.85);0.58 (0.05-6.62);1;0.00549178977428744;32;0.0175737272777198